Date,ADVANC.BK,AEONTS.BK,AH.BK,AMATA.BK,AOT.BK,AP.BK,BANPU.BK,BBL.BK,BCH.BK,BCP.BK,BDMS.BK,BEM.BK,BGRIM.BK,BH.BK,BJC.BK,BLA.BK,BTS.BK,CBG.BK,CENTEL.BK,CHG.BK,CK.BK,COM7.BK,CPALL.BK,CPAXT.BK,CPF.BK,CRC.BK,DELTA.BK,DOHOME.BK,EA.BK,EGCO.BK,ERW.BK,GFPT.BK,GLOBAL.BK,GPSC.BK,GULF.BK,HANA.BK,HMPRO.BK,IRPC.BK,ITC.BK,IVL.BK,KBANK.BK,KCE.BK,KKP.BK,KTB.BK,KTC.BK,LH.BK,MINT.BK,MTC.BK,NER.BK,OR.BK,ORI.BK,OSP.BK,PR9.BK,PSH.BK,PTT.BK,PTTEP.BK,PTTGC.BK,QH.BK,RATCH.BK,SAT.BK,SAWAD.BK,SCB.BK,SCC.BK,SCCC.BK,SCGP.BK,SIRI.BK,SPALI.BK,SPRC.BK,TASCO.BK,TIDLOR.BK,TISCO.BK,TOP.BK,TPIPL.BK,TRUE.BK,TTB.BK,TU.BK,TVO.BK,WHA.BK,^SET.BK
2021-07-22,5868200,1037400,962700,9059800,8649800,15392500,45071241.0,15913900,13288100,2552200,29468200,13090600,4482200,1523100,2197200,5608900,52589300,3053000,1387600,126370000,3370200,14577600,6766300,,55218800,4448900,7909000,14708023,3841400,473000,3790400,26092100,5599998,24758100,,26850200,20934900,63006500,,12421000,42651700,48810400,4307800,50726400,2828800,23490700,12833100,5433800,30861400,20003200,4249200,14112700,1705200,1193800,25587300,5881800,19555500,12916000,2597250,1328400,4520076,,1856600,61400,4540900,125744200,17739100,16329400,3213200,,3373400,14578811,5988000,60321700,592873100,15332800,1100990,35390700,6264000.0
2021-07-23,4257700,486700,3498500,6791400,7064200,9885600,131299377.0,9961600,13051600,3889900,13447300,36937900,6498500,710600,2491100,1816700,90722100,5725600,1396300,71895700,6342700,22373400,8799200,,26184500,7543900,2611000,6879365,16456700,915900,7849700,22417800,6617007,9369600,,10085500,10993800,78972700,,6310600,18627300,9451200,7165500,31074400,3247000,16918900,9033100,3768600,48935500,13511500,5596000,10529200,235200,498800,41631800,2851600,13480400,12728600,1958111,2963300,4467804,,1245800,71200,4600800,49406500,9771300,12262700,1895500,,1899800,13596889,7089400,37787900,731746000,21964100,962170,31339900,7420000.0
2021-07-27,6247700,530200,1517400,5961500,18468100,9071600,50049091.0,9115800,14956400,2543100,37429700,35490200,4095400,849800,2743800,3221900,41578600,3397200,1625700,69843300,4042300,15017200,17448200,,64600300,5475400,7265000,7644748,27033900,846100,8851200,23940700,5365407,8538100,,9830900,30018500,62230700,,21592800,26836700,16516200,2883700,63156100,4236000,45575100,14044000,3197900,45607200,18569100,7461700,8325600,327900,1184100,38861800,5193200,26799200,11797100,4466847,1730500,6733287,,2121700,80800,18533500,352183500,8673900,15242000,3658800,,3301800,11898220,11561500,50380800,270663300,27934800,6243380,47875200,8034200.0
2021-07-29,11744500,2092200,1235300,3949500,30451600,22576000,90556324.0,7941100,22398600,2406900,27616700,34310400,8005000,921700,10099500,2942100,30962400,5876200,3062500,244556500,7501200,18346600,19999200,,59019600,5525100,4879000,9272844,14834400,1340500,2723300,7476200,15177822,9012500,,13423600,47882200,103148500,,6388500,20481500,18912100,2800000,24845700,4130800,45098900,20281300,12352100,21864300,21719700,6570900,10768700,3186000,694500,58569300,5413200,8221300,9821600,5915569,2449200,17428598,,1205600,266400,29951500,939779900,4051900,13865100,3827100,,4381000,12507952,4780500,231678200,150743200,25353400,2268200,120358900,8741800.0
2021-07-30,10072400,1147500,2448000,7482800,11893500,11588400,69566942.0,10080400,12018000,3955100,20949900,39176400,11178100,816300,7257100,3213000,60407500,5588800,4786300,171327200,9588100,14032200,26939400,,27901000,6288900,9378000,11100490,8777500,1232000,10155700,17913500,16432100,21334500,,11553700,23434400,121905400,,23023900,25449900,7867300,2532900,39192600,6480100,51912800,24751600,6675300,30401700,29540700,12233300,7716800,558600,865900,80028700,16566400,16025300,14631700,14087175,1375800,12053778,,5319800,557900,23219300,418403900,9598200,39819000,6204700,,3586800,84665769,6339000,351880700,451880600,21802400,3415500,74773300,8477600.0
2021-08-02,6492300,729800,1070000,7233600,21348600,8454200,49123851.0,7063600,29699700,3147600,20027600,13597200,5154100,753500,3720200,3018700,41565300,3520600,2940400,139722600,7579700,24375000,55718900,,62138000,4248200,4803000,15728254,6709900,1560500,24749000,13151000,25082150,9343100,,10543600,11472400,92766300,,18626800,12247200,10284100,1478700,37944100,6741700,59136300,11054900,5524100,28996500,12234900,11084900,11051400,988100,638900,67631700,6584400,14104500,27552000,6482385,3541900,6856586,,1716800,168700,6143200,133542400,4829500,26186400,4427900,,1666400,32281043,5351900,94463100,284513500,27906800,2682570,27655100,6102000.0
2021-08-03,14072900,1301900,2490400,7646300,16238200,14472800,128346942.0,12288700,51938000,3364400,12718500,29993200,11426800,540500,2557200,2178100,29352800,3906500,2419900,135933800,11689200,8673600,15526400,,27721000,8878500,4126000,8998865,5998000,1340500,6148500,10240400,14594692,10999700,,3665000,24315300,89285300,,9489700,24357500,4834400,2757700,34272600,6723100,25707400,13680500,5928300,47070600,17835500,16166800,5377900,465200,748000,42044900,6307400,14242700,14789600,5761100,3803100,11355729,,1416800,136500,9112900,149752300,6462600,23328300,4175800,,3846800,20569320,3131700,53069000,416465000,17258800,2323200,58896100,6171100.0
2021-08-04,6989400,773500,9794100,4464000,6646900,10584500,39848077.0,5130400,38692200,2259600,25270800,8601200,16127400,733700,1095600,5870100,19641600,5605000,1918800,113463800,4780000,9782600,18998400,,17698200,7728600,5857000,9196040,7225800,2876900,15875700,13334300,28115279,32865000,,5431600,16624200,63574200,,16975100,14346200,5458800,2870100,11332600,4646200,21662600,7521100,7307200,37248000,24269400,23796700,4822100,829400,679000,51778500,2980200,10117500,17624400,11993594,2943500,12305458,,1026600,66300,7617400,217449200,3985000,11619800,2168800,,2133000,10018078,5330500,48002100,130723700,35418400,861520,27660100,6378900.0
2021-08-05,7637400,936800,4353500,7988600,18415300,8917500,61593339.0,6348200,21393400,1925100,16772400,24162700,10171200,1193900,5229400,2963500,46186100,6946800,1905900,115755000,2844800,13380800,15419100,,42374100,9602000,7458000,24358741,10480900,2145400,8444600,7090500,31217070,21392100,,13051700,57918800,101598000,,85608300,10467700,24623900,2090300,19365200,7300000,44915300,14098500,4449600,47707900,15140800,15425500,5400000,389800,1136000,63568300,5950500,33186300,16812000,2338291,2315100,5352435,,2280900,98800,5985600,164636300,5849000,10025900,10270000,,3256900,14092271,4483200,72111200,132412500,41173000,2554200,22018400,10398600.0
2021-08-06,4276700,718800,8551100,5528000,16341800,13990400,67991804.0,3842300,16050700,1705100,33128700,24627000,7395600,834800,4177800,4292300,46138500,4211400,2664400,82072300,4259000,22558800,22808800,,56009000,9519700,77168000,9883083,19191500,1776600,16610300,10347700,15811230,19323500,,8132900,66994900,126509700,,53060400,10852100,9439500,1574400,22565500,10712400,32252900,11600400,9511100,28069300,14291200,14993400,10686800,246900,1345800,69864700,7265900,19628900,12799200,3892475,2751600,7457351,,2054700,85500,16093000,186976900,6383600,10051500,5855700,,2979800,9222853,2533800,63472700,117090100,38239100,1243880,17764700,7711900.0
